Are you interested in being a Team Representative? ,d580f6fedb5a7e8e112798ba7215c376,d544872a7a31ad80d4ec06d2ab3c106b,aed5a51831f1e9b3ea1d17ba844d32cd,d8576d770bc1e39ea2fec0dfef9c88a9,9c7028fd2f6e7005972bf543a45b2e06,a1ef38fb26b1b81ea66f46b5dc3e10c7,1ed3ddcaa6fab66fdd8673d0de207c3c,5ce679da3f7693e797ab5fc5b5fb5ccd,058754028b379782720a5f1f2d3e5311,889e7cf1f694a813051e599ade1a90e0,f51e4de107872409c4486cd4881297fb,21a0065e54f798bad719b2afe776f71c,e93be764a63e55196107e7e2ab6e957b,2b61e0b345dbfadd1a49bd03b7b789c6,id name,email anonymized,anonymized group preference
Yes,5th,1st,3rd,2nd,7th,6th,8th,4th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled",fdcc0b6a2a8f25914829ab5fd8992fb1,7b6fec905ef1c1dab10c21c15243a670,[]
Yes,5th,8th,4th,2nd,6th,3rd,7th,1st,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,d744d3b04205c37a31600f73a4c041eb,b2c6de510d584484d74c9aa9f8fa9f04,[]
No,3rd,5th,2nd,7th,6th,4th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,5d9713f43330675bc77646534d8a46c7,052d26da0511326a0556c5f49dae9b39,[]
Maybe,4th,6th,5th,3rd,7th,2nd,8th,1st,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",cf6417b47e02ec1e1d2b6c3bab1ca9e5,91cb394fed4f667f20f56d198cd6190d,[]
Yes,4th,6th,5th,1st,2nd,3rd,7th,8th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,45330d5ba373e603e5503e56d2489c58,09a5425422227aaccb851607094b1292,[]
Maybe,1st,2nd,4th,3rd,6th,7th,8th,5th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",77ff20695cd63cc250ebf8a6744766dc,042f42bf0ce9ae06d083c525e96ea044,[]
No,1st,3rd,7th,5th,8th,2nd,6th,4th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,7a8f4f158789af7fc967ae37922167c3,43548637b76aea81e3e5f26887eaa92d,[]
No,7th,6th,3rd,2nd,4th,1st,8th,5th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,be68e4464e354758889fdc49073160ff,5dca9d7879d5ef2f32c38438f16d02c5,['3526ce00d20161b6996e9c812e4f7a99']
Yes,8th,8th,8th,8th,8th,8th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,af4d430bc4f9c6cbb1dbdb0d9bec18d6,3975c0a28fccb65f3363eb048114f188,"['c6cdb00f3ae8098dc9178819d7c9a569', '37555ae77342b8a3099e826546f6584b']"
Maybe,8th,8th,8th,8th,8th,8th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,9268a85be7d9af6c676fedd760ea1710,c6cdb00f3ae8098dc9178819d7c9a569,"['c6cdb00f3ae8098dc9178819d7c9a569', '37555ae77342b8a3099e826546f6584b', '3975c0a28fccb65f3363eb048114f188']"
No,2nd,4th,5th,1st,6th,3rd,8th,7th,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",3c41bb614dda5f82fbaa0aa8495d7f6b,719eb21413f653f9b960b4059f5a70be,[]
Maybe,4th,5th,6th,3rd,8th,7th,1st,2nd,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,bd25eaeca89b5dd7df04c27111e60259,37555ae77342b8a3099e826546f6584b,"['c6cdb00f3ae8098dc9178819d7c9a569', '3975c0a28fccb65f3363eb048114f188']"
Maybe,3rd,7th,6th,5th,8th,4th,2nd,1st,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",1558cf75892cea55603585a386160560,c5a8d96db675498dcb222c1bc82c18cc,[]
